観測所番号 府県番号 地点コード 観測所名 経度 緯度
44316 44 1595 母島 142.1617 26.6350
44356 44 47991 南鳥島 153.9833 24.2883
50066 50 47639 富士山 138.7267 35.3600
45061 45 376 我孫子 140.1100 35.8633
45081 45 375 香取 140.5017 35.8583
45086 45 377 東庄 140.6850 35.8217
45106 45 1236 船橋 140.0433 35.7117
45116 45 916 佐倉 140.2117 35.7283
45121 45 378 成田 140.3850 35.7633
45147 45 47648 銚子 140.8567 35.7383
45181 45 1003 横芝光 140.4800 35.6567
45212 45 47682 千葉 140.1033 35.6017
45261 45 381 茂原 140.3100 35.4167
45282 45 382 木更津 139.9400 35.3617
45291 45 1238 牛久 140.1483 35.3967
45326 45 1241 坂畑 140.0983 35.2350
45331 45 1004 大多喜 140.2150 35.2517
45346 45 383 鋸南 139.8367 35.1217
45361 45 384 鴨川 140.1000 35.1117
45371 45 47674 勝浦 140.3117 35.1500
45401 45 47672 館山 139.8650 34.9867
46001 46 387 相模湖 139.1933 35.6133
46046 46 1005 相模原中央 139.3700 35.5717
46061 46 1006 日吉 139.6500 35.5517
46076 46 1096 丹沢湖 139.0433 35.4100
46091 46 388 海老名 139.3867 35.4333
46106 46 47670 横浜 139.6517 35.4383
46136 46 1007 平塚 139.3050 35.3450
46141 46 1443 辻堂 139.4500 35.3200
46161 46 390 箱根 139.0417 35.2217
46166 46 1008 小田原 139.1550 35.2767
46211 46 392 三浦 139.6300 35.1783
48031 48 393 野沢温泉 138.4417 36.9117
48061 48 394 信濃町 138.1983 36.8083
48066 48 395 飯山 138.3750 36.8750
48097 48 1411 小谷 137.9300 36.8217
48141 48 396 白馬 137.8617 36.6983
48146 48 1162 鬼無里 137.9650 36.6883
48156 48 47610 長野 138.1917 36.6617
48172 48 398 笠岳 138.4567 36.6667
48191 48 399 大町 137.8333 36.5233
48196 48 400 信州新町 137.9967 36.5483
48216 48 992 菅平 138.3250 36.5317
48247 48 1360 聖高原 138.0683 36.4867
48256 48 402 上田 138.2650 36.4000
48296 48 404 穂高 137.8817 36.3433
48321 48 993 東御 138.3833 36.3833
48331 48 47622 軽井沢 138.5467 36.3417
48346 48 994 上高地 137.6333 36.2467
48361 48 47618 松本 137.9700 36.2450
48363 48 1529 松本今井 137.9217 36.1667
48371 48 407 鹿教湯 138.1367 36.3017
48381 48 1300 立科 138.3133 36.2717
48386 48 408 佐久 138.4767 36.2467
48436 48 1550 白樺湖 138.2283 36.1050
48466 48 1312 奈川 137.6833 36.0883
48491 48 47620 諏訪 138.1083 36.0450
48491 48 47620 諏訪 138.1017 36.0400
48516 48 1549 北相木 138.6117 36.0717
48531 48 1314 開田高原 137.6017 35.9383
48541 48 413 木曽平沢 137.8350 35.9833
48546 48 1319 辰野 137.9833 35.9817
48556 48 1551 高遠 138.1083 35.9533
48561 48 414 原村 138.2200 35.9700
48571 48 415 野辺山 138.4717 35.9483
48601 48 416 御嶽山 137.5033 35.8717
48606 48 417 木曽福島 137.6883 35.8400
48621 48 1445 伊那 137.9550 35.8267
48681 48 420 宮田高原 137.8850 35.7733
48691 48 1397 杉島 138.0933 35.7267
48716 48 422 須原 137.6917 35.6983
48717 48 1022 南木曽 137.6200 35.6100
48731 48 424 飯島 137.8983 35.6533
48737 48 1394 大鹿 138.0400 35.5567
48767 48 47637 飯田 137.8217 35.5233
48826 48 1317 浪合 137.6917 35.3733
48836 48 1339 阿南 137.8117 35.3133
48841 48 1323 南信濃 137.9317 35.3217
49036 49 1023 大泉 138.3867 35.8617
49052 49 1599 乙女湖 138.6550 35.8067
49086 49 1024 韮崎 138.4483 35.6933
49142 49 47638 甲府 138.5533 35.6667
49151 49 433 勝沼 138.7250 35.6633
49161 49 434 大月 138.9383 35.6083
49171 49 1165 上野原 139.1133 35.6217
49186 49 435 八町山 138.4117 35.5433
49196 49 436 古関 138.6150 35.5283
49236 49 1234 切石 138.4417 35.4667
49251 49 47640 河口湖 138.7600 35.5000
49256 49 438 山中 138.8367 35.4367
49316 49 439 南部 138.4450 35.2883
50056 50 440 白糸 138.5783 35.3117
50106 50 1338 井川 138.2217 35.2167
50111 50 1114 梅ケ島 138.3417 35.2367
50136 50 441 御殿場 138.9267 35.3050
50196 50 442 富士 138.6633 35.1850
